Manufacturing Year,Brand,Model,Distance Driven,Fuel Type,Price
2018,Ford,Ford Freestyle,98K km,diesel,4.98 Lakh
2022,Hyundai,Hyundai Venue,18K km,petrol,9.07 Lakh
2018,Datsun,Datsun Redi-GO,51K km,petrol,2.63 Lakh
2022,Hyundai,Hyundai Grand i10 Nios,22.5K km,cng,6.35 Lakh
2018,Maruti,Maruti Ciaz,76.5K km,petrol,5.81 Lakh
2023,Volkswagen,Volkswagen Virtus,45.5K km,petrol,11.90 Lakh
2016,Maruti,Maruti Celerio,55K km,petrol,3.70 Lakh
2017,Renault,Renault Kwid,39.5K km,petrol,3.02 Lakh
2018,Honda,Honda Amaze,77.5K km,petrol,5.17 Lakh
2018,Maruti,Maruti Wagon R,52K km,petrol,3.72 Lakh
2022,Honda,Honda City,88.5K km,petrol,9.75 Lakh
2013,Maruti,Maruti Alto K10,55.5K km,petrol,2.22 Lakh
2017,Hyundai,Hyundai Eon,95K km,petrol,2.84 Lakh
2022,Honda,Honda City,28K km,petrol,11.26 Lakh
2020,Kia,Kia Seltos,90.5K km,petrol,10.65 Lakh
2013,Maruti,Maruti Wagon R,57K km,petrol,2.45 Lakh
2017,Hyundai,Hyundai Elite i20,108.5K km,diesel,5.43 Lakh
2019,Tata,Tata Nexon,45K km,diesel,7.54 Lakh
2016,Hyundai,Hyundai Grand i10,33K km,petrol,4.45 Lakh
2020,Kia,Kia Seltos,52.5K km,petrol,12.83 Lakh
2022,Volkswagen,Volkswagen Virtus,44K km,petrol,11.71 Lakh
2018,Hyundai,Hyundai Eon,84K km,petrol,2.88 Lakh
2021,Tata,Tata Altroz,68K km,petrol,6.45 Lakh
2020,MG,MG Hector,74.5K km,diesel,12.23 Lakh
2021,Hyundai,Hyundai Verna,36K km,petrol,11.25 Lakh
2023,Kia,Kia Sonet,23K km,petrol,9.47 Lakh
2023,Renault,Renault Kwid,30.5K km,petrol,3.97 Lakh
2021,Kia,Kia Seltos,82K km,petrol,10.42 Lakh
2012,Hyundai,Hyundai i10,39K km,petrol,2.58 Lakh
2017,Maruti,Maruti Baleno,28.5K km,petrol,5.95 Lakh
